Entry_Date,Ticker,Action,Strike,Expiry,Lots,Entry_Premium,Exit_Date,Exit_Premium,PnL,Note
2023-10-12,AARTIIND,Bull Call Spread,490/500 CE,2023-10-26,117,3.4,2023-10-26,0.0,-19890.0,Expiry
2024-08-12,AARTIIND,Bear Put Spread,740/720 PE,2024-08-29,2,9.5,2024-08-29,20.0,21000.0,Expiry
2024-08-13,AARTIIND,Bear Put Spread,620/600 PE,2024-08-29,2,8.45,2024-08-14,14.25,11600.0,50% Profit Exit
2024-08-14,AARTIIND,Bear Put Spread,600/580 PE,2024-08-29,3,6.05,2024-08-29,0.0,-18150.0,Expiry
2024-09-13,AARTIIND,Bear Put Spread,570/550 PE,2024-09-26,9,2.2,2024-09-26,0.0,-19800.0,Expiry
2024-10-07,AARTIIND,Bear Put Spread,540/520 PE,2024-10-31,2,8.9,2024-10-28,14.85,11900.0,50% Profit Exit
2025-04-23,AARTIIND,Bull Call Spread,440/450 CE,2025-05-29,4,4.25,2025-05-29,10.0,23000.0,Expiry
2025-06-13,AARTIIND,Bear Put Spread,460/450 PE,2025-06-26,4,4.3,2025-06-23,8.6,17200.0,50% Profit Exit
2025-06-24,AARTIIND,Bull Call Spread,455/470 CE,2025-07-31,30,0.5,2025-07-07,19.95,773137.5,50% Profit Exit
2024-02-22,ABB,Bull Call Spread,5450/5600 CE,2024-02-29,7,54.3,2024-02-29,1.8,-18375.0,Expiry
2024-08-05,ABCAPITAL,Bear Put Spread,205/200 PE,2024-08-29,1,3.15,2024-08-29,0.0,-17010.0,Expiry
2025-10-15,ABCAPITAL,Bull Call Spread,305/315 CE,2025-10-28,1,3.65,2025-10-28,10.0,19685.0,Expiry
2024-02-12,ABFRL,Bear Put Spread,240/235 PE,2024-02-29,163,2.45,2024-02-13,3.95,12225.0,50% Profit Exit
2025-06-19,ADANIENSOL,Bear Put Spread,820/800 PE,2025-06-26,4,7.35,2025-06-26,0.0,-18375.0,Expiry
2024-03-13,ADANIENT,Bear Put Spread,2900/2850 PE,2024-03-28,20,20.0,2024-03-28,0.0,-20000.0,Expiry
2024-06-21,ALKEM,Bear Put Spread,5100/4950 PE,2024-06-27,13,30.7,2024-06-26,100.35,45272.5,50% Profit Exit
2024-07-19,ALKEM,Bear Put Spread,5150/5000 PE,2024-07-25,3,53.85,2024-07-25,0.0,-16155.0,Expiry
2025-11-12,AMBER,Bull Call Spread,6900/7100 CE,2025-11-25,1,141.65,2025-11-21,201.55,5990.0,50% Profit Exit
2024-03-20,AMBUJACEM,Bear Put Spread,580/560 PE,2024-03-28,54,7.3,2024-03-28,0.0,-19710.0,Expiry
2025-08-25,ANGELONE,Bear Put Spread,2450/2400 PE,2025-09-30,3,24.5,2025-09-02,37.95,10087.5,50% Profit Exit
2024-03-12,APOLLOTYRE,Bear Put Spread,500/490 PE,2024-03-28,97,4.1,2024-03-28,10.0,28615.0,Expiry
2024-03-13,APOLLOTYRE,Bear Put Spread,490/475 PE,2024-03-28,67,5.95,2024-03-26,12.05,20435.0,50% Profit Exit
2024-03-19,APOLLOTYRE,Bear Put Spread,455/445 PE,2024-03-28,103,3.85,2024-03-28,0.0,-19827.5,Expiry
2024-03-20,APOLLOTYRE,Bear Put Spread,455/440 PE,2024-03-28,65,6.1,2024-03-28,0.0,-19825.0,Expiry
2024-12-06,APOLLOTYRE,Bull Call Spread,530/550 CE,2024-12-26,1,10.6,2024-12-26,12.7,3570.0,Expiry
2024-09-17,ASHOKLEY,Bear Put Spread,240/235 PE,2024-09-26,2,1.9,2024-09-26,0.0,-19000.0,Expiry
2025-12-18,ASHOKLEY,Bull Call Spread,170/175 CE,2025-12-30,2,1.71,2025-12-30,5.0,32900.0,Expiry
2025-12-22,ASHOKLEY,Bull Call Spread,175/180 CE,2025-12-30,2,1.92,2025-12-30,1.06,-8600.0,Expiry
2024-08-14,ASTRAL,Bear Put Spread,1900/1800 PE,2024-08-29,1,42.35,2024-08-29,0.0,-15542.45,Expiry
2025-06-13,ATGL,Bear Put Spread,660/640 PE,2025-06-26,2,8.9,2025-06-23,16.0,11005.0,50% Profit Exit
2024-10-10,AUBANK,Bear Put Spread,700/680 PE,2024-10-31,2,7.8,2024-10-31,20.0,24400.0,Expiry
2024-10-11,AUBANK,Bear Put Spread,690/670 PE,2024-10-31,2,7.2,2024-10-31,20.0,25600.0,Expiry
2024-08-29,BAJAJ-AUTO,Bull Call Spread,10800/11100 CE,2024-09-26,2,128.65,2024-09-26,300.0,25702.5,Expiry
2024-10-07,BAJAJ-AUTO,Bear Put Spread,11700/11400 PE,2024-10-31,2,118.0,2024-10-31,300.0,27300.0,Expiry
2024-01-16,BAJAJFINSV,Bear Put Spread,1650/1600 PE,2024-01-25,17,23.15,2024-01-25,23.4,212.5,Expiry
2025-06-18,BAJFINANCE,Bear Put Spread,920/890 PE,2025-06-26,1,9.65,2025-06-26,0.0,-12062.5,Expiry
2025-06-19,BAJFINANCE,Bear Put Spread,910/880 PE,2025-06-26,1,12.75,2025-06-26,0.0,-15937.5,Expiry
2023-11-30,BANDHANBNK,Bull Call Spread,225/235 CE,2023-12-28,89,4.45,2023-12-28,10.0,24697.5,Expiry
2024-10-01,BANDHANBNK,Bear Put Spread,200/190 PE,2024-10-31,1,5.5,2024-10-31,10.0,12600.0,Expiry
2025-07-17,BANDHANBNK,Bull Call Spread,185/190 CE,2025-07-31,2,2.2,2025-07-31,0.0,-15840.0,Expiry
2025-07-18,BANDHANBNK,Bull Call Spread,190/195 CE,2025-07-31,3,1.7,2025-07-31,0.0,-18360.0,Expiry
2025-09-23,BANDHANBNK,Bear Put Spread,165/160 PE,2025-09-30,2,2.65,2025-09-24,3.9,9000.0,50% Profit Exit
2025-09-24,BANDHANBNK,Bear Put Spread,160/155 PE,2025-09-30,2,2.5,2025-09-26,3.75,9000.0,50% Profit Exit
2024-05-07,BANKBARODA,Bear Put Spread,260/255 PE,2024-05-30,173,2.3,2024-05-30,0.0,-19895.0,Expiry
2023-07-17,BANKNIFTY,Bull Call Spread,45500/45800 CE,2023-07-27,2,134.7,2023-07-27,154.75,2005.0,Expiry
2023-07-19,BANKNIFTY,Bull Call Spread,45700/46000 CE,2023-07-27,2,138.1,2023-07-27,0.0,-13810.0,Expiry
2023-07-20,BANKNIFTY,Bull Call Spread,46200/46500 CE,2023-07-27,3,128.75,2023-07-27,0.0,-19312.5,Expiry
2023-08-08,BANKNIFTY,Bull Call Spread,45100/45400 CE,2023-08-31,2,133.8,2023-08-31,0.0,-13380.0,Expiry
2023-08-10,BANKNIFTY,Bear Put Spread,44800/44500 PE,2023-08-31,2,133.65,2023-08-31,300.0,16635.0,Expiry
2023-08-11,BANKNIFTY,Bear Put Spread,44500/44200 PE,2023-08-31,3,129.5,2023-08-31,300.0,25575.0,Expiry
2023-08-14,BANKNIFTY,Bear Put Spread,44200/43900 PE,2023-08-31,3,122.45,2023-08-31,248.25,18870.0,50% Profit Exit
2023-08-16,BANKNIFTY,Bear Put Spread,44100/43800 PE,2023-08-31,3,126.2,2023-08-31,155.7,4425.0,Expiry
2023-08-18,BANKNIFTY,Bear Put Spread,44000/43700 PE,2023-08-31,3,123.45,2023-08-31,55.7,-10162.5,Expiry
2023-08-28,BANKNIFTY,Bull Call Spread,44500/44800 CE,2023-09-28,2,164.3,2023-09-28,0.0,-16430.0,Expiry
2023-08-30,BANKNIFTY,Bear Put Spread,44200/43900 PE,2023-09-28,4,99.2,2023-09-28,0.0,-19840.0,Expiry
2023-08-31,BANKNIFTY,Bear Put Spread,43900/43600 PE,2023-09-28,4,94.85,2023-09-28,0.0,-18970.0,Expiry
2023-09-08,BANKNIFTY,Bull Call Spread,45300/45600 CE,2023-09-28,2,138.3,2023-09-28,0.0,-13830.0,Expiry
2023-09-21,BANKNIFTY,Bear Put Spread,44800/44500 PE,2023-09-28,3,124.6,2023-09-28,300.0,26310.0,Expiry
2023-09-22,BANKNIFTY,Bear Put Spread,44700/44400 PE,2023-09-28,3,124.3,2023-09-28,300.0,26355.0,Expiry
2023-09-25,BANKNIFTY,Bull Call Spread,44800/45100 CE,2023-10-26,2,173.2,2023-10-26,0.0,-17320.0,Expiry
2023-09-26,BANKNIFTY,Bear Put Spread,44700/44400 PE,2023-10-26,3,101.3,2023-10-26,300.0,29805.0,Expiry
2023-09-27,BANKNIFTY,Bear Put Spread,44600/44300 PE,2023-10-26,3,108.3,2023-10-26,300.0,28755.0,Expiry
2023-09-28,BANKNIFTY,Bear Put Spread,44300/44000 PE,2023-10-26,4,97.5,2023-10-26,300.0,40500.0,Expiry
2023-10-04,BANKNIFTY,Bear Put Spread,44200/43900 PE,2023-10-26,3,115.5,2023-10-26,300.0,27675.0,Expiry
2023-10-05,BANKNIFTY,Bull Call Spread,44400/44700 CE,2023-10-26,2,142.95,2023-10-26,0.0,-14295.0,Expiry
2023-10-06,BANKNIFTY,Bull Call Spread,44500/44800 CE,2023-10-26,2,144.25,2023-10-26,0.0,-14425.0,Expiry
2023-10-09,BANKNIFTY,Bear Put Spread,44000/43700 PE,2023-10-26,3,117.4,2023-10-26,300.0,27390.0,Expiry
2023-10-13,BANKNIFTY,Bear Put Spread,44400/44100 PE,2023-10-26,3,116.35,2023-10-26,300.0,27547.5,Expiry
2023-10-16,BANKNIFTY,Bear Put Spread,44300/44000 PE,2023-10-26,3,115.2,2023-10-26,300.0,27720.0,Expiry
2023-10-18,BANKNIFTY,Bear Put Spread,44100/43800 PE,2023-10-26,3,121.1,2023-10-26,300.0,26835.0,Expiry
2023-10-19,BANKNIFTY,Bear Put Spread,43800/43500 PE,2023-10-26,3,109.65,2023-10-26,300.0,28552.5,Expiry
2023-10-20,BANKNIFTY,Bear Put Spread,43700/43400 PE,2023-10-26,3,112.9,2023-10-26,300.0,28065.0,Expiry
2023-10-26,BANKNIFTY,Bear Put Spread,42300/42000 PE,2023-11-30,3,100.05,2023-11-30,0.0,-15007.5,Expiry
2023-11-08,BANKNIFTY,Bear Put Spread,43800/43500 PE,2023-11-30,3,121.5,2023-11-30,0.0,-18225.0,Expiry
2023-11-09,BANKNIFTY,Bull Call Spread,43900/44200 CE,2023-11-30,2,147.25,2023-11-30,300.0,15275.0,Expiry
2023-11-22,BANKNIFTY,Bear Put Spread,43600/43300 PE,2023-11-30,3,119.5,2023-11-30,0.0,-17925.0,Expiry
2023-11-23,BANKNIFTY,Bull Call Spread,43700/44000 CE,2023-11-30,3,124.9,2023-11-30,300.0,26265.0,Expiry
2023-11-24,BANKNIFTY,Bull Call Spread,43800/44100 CE,2023-11-30,3,122.35,2023-11-30,300.0,26647.5,Expiry
2023-11-28,BANKNIFTY,Bull Call Spread,44000/44300 CE,2023-12-28,2,165.6,2023-12-28,300.0,13440.0,Expiry
2023-11-29,BANKNIFTY,Bull Call Spread,44700/45000 CE,2023-12-28,2,174.8,2023-12-28,300.0,12520.0,Expiry
2023-11-30,BANKNIFTY,Bear Put Spread,44500/44200 PE,2023-12-28,3,114.7,2023-12-28,0.0,-17205.0,Expiry
2023-12-08,BANKNIFTY,Bull Call Spread,47500/47800 CE,2023-12-28,3,132.75,2023-12-28,300.0,25087.5,Expiry
2023-12-12,BANKNIFTY,Bear Put Spread,47300/47000 PE,2023-12-28,3,132.95,2023-12-28,0.0,-19942.5,Expiry
2023-12-13,BANKNIFTY,Bull Call Spread,47400/47700 CE,2023-12-28,2,133.4,2023-12-28,300.0,16660.0,Expiry
2023-12-15,BANKNIFTY,Bull Call Spread,48300/48600 CE,2023-12-28,3,128.25,2023-12-28,206.6,11752.5,Expiry
2023-12-18,BANKNIFTY,Bear Put Spread,47900/47600 PE,2023-12-28,3,121.45,2023-12-28,0.0,-18217.5,Expiry
