Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Score,Reason,Return_Pct,Capital_Allocated,Position_Size_Pct,Profit_Amount
HAVELLS,2021-01-07,2021-01-11,955.8,1015.14,2.553,Target,5.75,150000.0,15.0,8625.0
ABB,2021-01-20,2021-02-02,1392.0,1493.68,2.369,Target,6.84,151293.75,15.0,10348.49
OLECTRA,2021-02-09,2021-02-12,173.2,192.57,2.556,Target,10.71,152846.02,15.0,16369.81
VEDL,2021-02-23,2021-03-08,168.2,186.28,2.561,Target,10.28,155301.5,15.0,15964.99
ASTRAL,2021-03-09,2021-03-10,1328.15,1412.84,2.518,Target,5.91,157696.24,15.0,9319.85
CHENNPETRO,2021-03-09,2021-03-12,122.5,112.91,2.241,Stop Loss,-8.27,140348.4,13.3,-11606.81
IIFL,2021-03-15,2021-03-18,306.0,304.65,3.352,Trend Death,-0.89,157353.2,15.0,-1400.44
AKZOINDIA,2021-03-17,2021-03-18,2415.0,2312.9,2.194,Stop Loss,-4.67,157353.2,15.0,-7348.39
NEULANDLAB,2021-04-08,2021-04-12,2468.0,2310.17,2.381,Stop Loss,-6.83,156040.87,15.0,-10657.59
POLYMED,2021-04-23,2021-05-05,1049.95,959.4,2.811,Stop Loss,-9.06,154442.24,15.0,-13992.47
ADANIENSOL,2021-05-10,2021-05-17,1197.9,1130.45,2.749,Stop Loss,-6.07,152343.37,15.0,-9247.24
COALINDIA,2021-05-11,2021-05-12,135.9,145.14,2.951,Target,6.34,152343.37,15.0,9658.57
SAREGAMA,2021-05-18,2021-05-21,212.8,237.69,3.524,Target,11.22,152405.06,15.0,17099.85
CDSL,2021-05-18,2021-05-28,435.5,474.49,3.188,Target,8.49,137873.82,13.6,11705.49
KPITTECH,2021-05-18,2021-05-26,241.7,228.5,2.859,Trend Death,-5.9,123645.31,12.2,-7295.07
AEGISLOG,2021-06-03,2021-06-18,376.6,348.35,2.364,Stop Loss,-7.94,155631.6,15.0,-12357.15
COFORGE,2021-06-09,2021-06-24,768.0,817.11,2.407,Target,5.93,155631.6,15.0,9228.95
RECLTD,2021-06-10,2021-06-14,123.7,118.73,2.564,Stop Loss,-4.46,155631.6,15.0,-6941.17
SRF,2021-06-11,2021-06-21,1414.3,1387.8,2.206,Trend Death,-2.32,155631.6,15.0,-3610.65
GODREJCP,2021-06-15,2021-06-18,920.65,887.81,2.833,Stop Loss,-4.01,154590.43,15.0,-6199.08
POLYCAB,2021-06-16,2021-06-21,1870.0,1965.62,3.399,Target,4.65,154590.43,15.0,7188.45
LAURUSLABS,2021-06-28,2021-07-22,657.6,650.0,2.831,Trend Death,-1.6,153728.01,15.0,-2459.65
FSL,2021-06-29,2021-07-12,175.25,198.09,2.718,Target,12.56,153728.01,15.0,19308.24
TRIVENI,2021-06-29,2021-07-20,204.9,184.81,2.543,Stop Loss,-10.23,143830.14,14.0,-14713.82
MARICO,2021-06-30,2021-07-02,543.0,524.12,2.56,Stop Loss,-3.92,153728.01,15.0,-6026.14
JSWENERGY,2021-07-01,2021-07-16,168.4,192.12,2.807,Target,13.61,153728.01,15.0,20922.38
BSE,2021-07-14,2021-07-16,121.0,132.61,2.852,Target,9.12,155720.32,15.0,14201.69
COFORGE,2021-07-15,2021-07-29,909.0,977.12,2.374,Target,7.03,155720.32,15.0,10947.14
RADICO,2021-08-13,2021-08-20,939.4,886.71,2.005,Stop Loss,-6.05,160054.98,15.0,-9683.33
PERSISTENT,2021-09-14,2021-09-23,1805.5,1917.88,2.938,Target,5.76,158602.49,15.0,9135.5
RKFORGE,2021-09-16,2021-09-17,215.4,203.41,2.729,Stop Loss,-6.0,158602.49,15.0,-9516.15
ABREL,2021-09-23,2021-10-14,919.7,991.91,2.839,Target,7.39,158545.39,15.0,11716.5
MCX,2021-09-28,2021-09-29,347.0,330.5,1.821,Stop Loss,-5.2,158545.39,15.0,-8244.36
OLECTRA,2021-10-07,2021-10-12,489.7,550.88,3.632,Target,12.02,157308.73,15.0,18908.51
MCX,2021-10-08,2021-10-11,382.0,417.18,3.269,Target,8.74,157308.73,15.0,13748.78
MANAPPURAM,2021-10-08,2021-10-27,194.3,209.79,2.443,Target,7.51,117560.49,11.2,8828.79
SRF,2021-10-13,2021-10-14,2538.0,2420.19,2.588,Stop Loss,-5.08,162207.33,15.0,-8240.13
JSWENERGY,2021-10-14,2021-10-19,398.85,373.05,2.474,Stop Loss,-6.91,162728.78,15.0,-11244.56
OLECTRA,2021-11-09,2021-11-12,657.95,742.19,2.324,Target,12.33,162366.42,15.0,20019.78
INDIGO,2021-11-15,2021-11-22,2310.0,2170.52,2.518,Stop Loss,-6.48,165369.39,15.0,-10715.94
KEI,2021-11-25,2021-11-29,1095.0,1029.69,3.272,Stop Loss,-6.4,163762.0,15.0,-10480.77
KEC,2021-12-27,2022-01-05,469.7,459.4,1.954,Trend Death,-2.64,162189.88,15.0,-4281.81
TTML,2021-12-31,2022-01-05,206.35,232.42,3.281,Target,12.16,162189.88,15.0,19722.29
CGPOWER,2022-01-05,2022-01-10,206.0,193.3,3.112,Stop Loss,-6.6,164505.95,15.0,-10857.39
ASAHIINDIA,2022-01-12,2022-01-24,576.0,538.86,2.774,Stop Loss,-6.88,162877.34,15.0,-11205.96
LT,2022-01-14,2022-01-21,2014.0,1962.3,2.405,Stop Loss,-3.01,162877.34,15.0,-4902.61
ACC,2022-01-17,2022-01-18,2364.0,2286.28,2.164,Stop Loss,-3.73,162877.34,15.0,-6075.32
BATAINDIA,2022-01-18,2022-01-19,2049.8,1971.99,2.121,Stop Loss,-4.24,161966.04,15.0,-6867.36
AMBUJACEM,2022-01-18,2022-01-19,410.0,393.17,1.682,Stop Loss,-4.55,128442.66,11.9,-5844.14
WELCORP,2022-01-18,2022-01-19,196.5,186.75,1.561,Stop Loss,-5.4,119202.73,11.0,-6436.95
GMDCLTD,2022-03-25,2022-04-05,180.0,205.57,3.436,Target,13.73,156677.49,15.0,21511.82
GRASIM,2022-03-31,2022-04-08,1663.4,1770.53,2.322,Target,5.98,156677.49,15.0,9369.31
DEEPAKNTR,2022-04-04,2022-04-12,2313.4,2216.58,1.958,Stop Loss,-4.63,156677.49,15.0,-7254.17
ABCAPITAL,2022-04-05,2022-04-19,113.9,109.17,1.864,Stop Loss,-4.59,159904.26,15.0,-7339.61
PERSISTENT,2022-04-06,2022-04-08,2449.5,2344.75,2.564,Stop Loss,-4.72,159904.26,15.0,-7547.48
TITAGARH,2022-04-06,2022-04-07,111.2,104.8,2.102,Stop Loss,-6.19,131091.56,12.3,-8114.57
ABREL,2022-04-08,2022-04-19,919.0,866.85,2.278,Stop Loss,-6.11,158960.35,15.0,-9712.48
APOLLOTYRE,2022-08-16,2022-08-17,238.1,256.97,2.93,Target,7.46,155314.42,15.0,11586.46
DMART,2022-08-16,2022-08-23,4355.0,4209.23,2.012,Stop Loss,-3.79,106652.77,10.3,-4042.14
ABCAPITAL,2022-08-17,2022-08-22,113.95,109.47,2.297,Stop Loss,-4.38,157052.38,15.0,-6878.89
ADANIPORTS,2022-08-17,2022-08-19,827.35,877.23,2.235,Target,5.57,152813.27,14.6,8511.7
SBICARD,2022-08-18,2022-08-19,983.0,937.37,2.174,Stop Loss,-5.08,157052.38,15.0,-7978.26
KIRLOSENG,2022-08-19,2022-08-25,189.3,210.05,2.472,Target,10.49,157132.4,15.0,16483.19
AMBUJACEM,2022-11-15,2022-11-24,583.9,559.24,2.252,Stop Loss,-4.66,157966.72,15.0,-7361.25
JKCEMENT,2022-12-02,2022-12-12,3201.95,3093.25,2.52,Stop Loss,-3.84,156862.54,15.0,-6023.52
HDFCAMC,2022-12-08,2022-12-12,1123.5,1091.52,2.546,Stop Loss,-3.29,156862.54,15.0,-5160.78
RAMCOCEM,2022-12-09,2022-12-16,734.2,709.53,1.95,Stop Loss,-3.8,156862.54,15.0,-5960.78
IIFL,2022-12-13,2022-12-22,484.7,457.44,2.004,Stop Loss,-6.06,155184.89,15.0,-9404.2
HINDZINC,2022-12-21,2022-12-22,331.0,321.62,1.943,Stop Loss,-3.28,154290.77,15.0,-5060.74
JSL,2023-01-03,2023-01-05,253.3,234.68,2.385,Stop Loss,-7.79,152121.03,15.0,-11850.23
HCLTECH,2023-01-19,2023-02-02,1102.35,1153.94,2.22,Target,4.22,150343.5,15.0,6344.5
POLYCAB,2023-02-01,2023-02-17,2949.0,3141.28,2.756,Target,6.06,150343.5,15.0,9110.82
SONATSOFTW,2023-02-10,2023-02-20,326.5,356.99,2.58,Target,8.87,151295.17,15.0,13419.88
LODHA,2023-05-30,2023-06-06,530.5,580.83,2.026,Target,9.02,154674.78,15.0,13951.67
CHENNPETRO,2023-07-06,2023-07-25,429.05,405.04,2.339,Stop Loss,-6.03,156767.53,15.0,-9453.08
RECLTD,2023-07-12,2023-07-13,170.45,163.86,2.104,Stop Loss,-4.31,156767.53,15.0,-6756.68
NCC,2023-07-17,2023-07-28,138.0,149.11,2.754,Target,7.58,155754.03,15.0,11806.16
TITAGARH,2023-07-20,2023-07-24,604.55,660.36,3.155,Target,8.76,155754.03,15.0,13644.05
JWL,2023-07-21,2023-07-26,197.95,218.93,2.332,Target,10.13,155754.03,15.0,15777.88
NATCOPHARM,2023-07-21,2023-07-28,780.0,839.01,2.065,Target,7.1,137921.13,13.3,9792.4
ICICIGI,2023-07-24,2023-07-31,1402.1,1350.46,1.863,Stop Loss,-4.13,157800.63,15.0,-6517.17
MOTILALOFS,2023-07-26,2023-07-28,196.25,211.87,2.296,Target,7.49,158749.35,15.0,11890.33
FORTIS,2023-07-26,2023-08-02,340.2,327.66,2.088,Stop Loss,-4.13,144367.88,13.6,-5962.39
JINDALSTEL,2023-07-26,2023-08-02,668.0,645.47,1.872,Stop Loss,-3.82,129433.27,12.2,-4944.35
PFC,2023-07-28,2023-08-08,203.45,217.43,2.519,Target,6.41,163772.69,15.0,10497.83
CHALET,2023-07-28,2023-08-03,490.0,468.29,1.905,Stop Loss,-4.87,123853.5,11.3,-6031.67
ASAHIINDIA,2023-08-01,2023-08-02,575.75,547.53,1.784,Stop Loss,-5.34,162795.11,15.0,-8693.26
ZENTEC,2023-08-10,2023-09-12,827.95,771.87,3.497,Stop Loss,-7.21,160525.04,15.0,-11573.86
