Ticker,Sector,IsFinanceSector,NetProfitNegative,EBITDA_Negative,ROE,ROCE,DebtEquity,ICR,GrossNPA_Pct,CAR_Pct,RevenueDecline2Yr,PromoterHolding,PromoterPledge,PledgeIncreasing3Qtrs,MarketCap_Cr,AuditorFlag,PromoterSelling,LastUpdated,DataSource,FetchError
360ONE,Financial Services,True,False,False,15.0,12.3,1.47,1.46,0.0,15.0,False,50.0,0.0,False,41128.0,False,False,2026-04-12,yfinance,
3MINDIA,Industrials,False,False,False,15.0,36.84,0.06,67.23,0.0,15.0,False,50.0,0.0,False,35457.0,False,False,2026-04-12,yfinance,
AADHARHFC,Financial Services,True,False,False,15.0,10.32,2.55,1.84,0.0,15.0,False,50.0,0.0,False,20853.0,False,False,2026-04-12,yfinance,
AARTIIND,Basic Materials,False,False,False,15.0,7.84,0.7,2.54,0.0,15.0,False,50.0,0.0,False,15388.0,False,False,2026-04-12,yfinance,
AAVAS,Financial Services,True,False,False,15.0,2.46,3.08,75.53,0.0,15.0,False,50.0,0.0,False,9865.0,False,False,2026-04-12,yfinance,
ABB,Industrials,False,False,False,22.39,23.73,0.01,96.73,0.0,15.0,False,50.0,0.0,False,145367.0,False,False,2026-04-12,yfinance,
ABBOTINDIA,Healthcare,False,False,False,15.0,36.47,0.05,143.89,0.0,15.0,False,50.0,0.0,False,54865.0,False,False,2026-04-12,yfinance,
ABCAPITAL,Financial Services,True,False,False,15.0,15.0,4.6,1.5,0.0,15.0,False,50.0,0.0,False,89652.0,False,False,2026-04-12,yfinance,
ABDL,Consumer Defensive,False,False,False,15.0,22.42,0.67,3.02,0.0,15.0,False,50.0,0.0,False,14248.0,False,False,2026-04-12,yfinance,
ABFRL,Consumer Cyclical,False,True,False,15.0,-3.52,0.85,-0.8,0.0,15.0,False,50.0,0.0,False,7338.0,False,False,2026-04-12,yfinance,
ABLBL,Consumer Cyclical,False,False,False,15.0,15.0,2.67,3.0,0.0,15.0,False,50.0,0.0,False,12287.0,False,False,2026-04-12,yfinance,
ABREL,Real Estate,False,True,True,15.0,-0.33,1.45,-0.59,0.0,15.0,False,50.0,0.0,False,15048.0,False,False,2026-04-12,yfinance,
ABSLAMC,Financial Services,True,False,False,15.0,24.64,0.02,167.9,0.0,15.0,False,50.0,0.0,False,28819.0,False,False,2026-04-12,yfinance,
ACC,Basic Materials,False,False,False,15.0,10.43,0.02,19.04,0.0,15.0,False,50.0,0.0,False,26752.0,False,False,2026-04-12,yfinance,
ACE,Industrials,False,False,False,15.0,29.96,0.08,17.03,0.0,15.0,False,50.0,0.0,False,10823.0,False,False,2026-04-12,yfinance,
ACMESOLAR,Utilities,False,False,False,15.0,5.56,2.72,1.27,0.0,15.0,False,50.0,0.0,False,16261.0,False,False,2026-04-12,yfinance,
ACUTAAS,Basic Materials,False,False,False,15.0,15.25,0.01,33.04,0.0,15.0,False,50.0,0.0,False,19340.0,False,False,2026-04-12,yfinance,
ADANIENSOL,Utilities,False,False,False,15.0,10.22,1.87,2.09,0.0,15.0,False,50.0,0.0,False,139258.0,False,False,2026-04-12,yfinance,
ADANIENT,Energy,False,False,False,15.0,6.93,1.78,2.14,0.0,15.0,False,50.0,0.0,False,284208.0,False,False,2026-04-12,yfinance,
ADANIGREEN,Utilities,False,False,False,15.0,6.78,2.96,1.32,0.0,15.0,False,50.0,0.0,False,178776.0,False,False,2026-04-12,yfinance,
ADANIPORTS,Industrials,False,False,False,19.41,12.35,0.82,5.25,0.0,15.0,False,50.0,0.0,False,339903.0,False,False,2026-04-12,yfinance,
ADANIPOWER,Utilities,False,False,False,15.0,18.4,0.81,5.78,0.0,15.0,False,50.0,0.0,False,339068.0,False,False,2026-04-12,yfinance,
AEGISLOG,Energy,False,False,False,15.0,9.62,0.28,6.01,0.0,15.0,True,50.0,0.0,False,22199.0,False,False,2026-04-12,yfinance,
AEGISVOPAK,Energy,False,True,False,15.0,6.63,0.42,1.69,0.0,15.0,False,50.0,0.0,False,21051.0,False,False,2026-04-12,yfinance,
AFCONS,Industrials,False,False,False,15.0,12.79,0.66,2.44,0.0,15.0,False,50.0,0.0,False,11949.0,False,False,2026-04-12,yfinance,
AFFLE,Communication Services,False,False,False,15.0,13.0,0.01,41.68,0.0,15.0,False,50.0,0.0,False,19711.0,False,False,2026-04-12,yfinance,
AGARWALEYE,Healthcare,False,False,False,15.0,7.78,0.49,2.31,0.0,15.0,False,50.0,0.0,False,13815.0,False,False,2026-04-12,yfinance,
AIAENG,Industrials,False,False,False,15.0,14.94,0.14,49.91,0.0,15.0,True,50.0,0.0,False,35213.0,False,False,2026-04-12,yfinance,
AIIL,Financial Services,True,False,False,15.0,27.55,0.2,81.27,0.0,15.0,False,50.0,0.0,False,37464.0,False,False,2026-04-12,yfinance,
